0,  64
1,  175
2,  60
3,  25
4,  110
5,  129
6,  110
7,  29
8,  86
9,  137
10,  253
11,  193
12,  168
13,  43
14,  211
15,  218
16,  81
17,  132
18,  102
19,  174
20,  213
21,  203
22,  3
23,  231
24,  171
25,  163
26,  97
27,  180
28,  249
29,  162
30,  74
31,  184
32,  39
33,  199
34,  90
35,  90
36,  32
37,  220
38,  100
39,  174
40,  84
41,  173
42,  64
43,  44
44,  135
45,  52
46,  103
47,  92
48,  73
49,  221
50,  55
51,  31
52,  132
53,  228
54,  230
55,  202
56,  197
57,  160
58,  27
59,  127
60,  236
61,  112
62,  13
63,  75
64,  211
65,  66
66,  219
67,  91
68,  77
69,  173
70,  112
71,  216
72,  100
73,  61
74,  217
75,  224
76,  153
77,  180
78,  52
79,  151
80,  140
81,  69
82,  131
83,  147
84,  249
85,  235
86,  217
87,  98
88,  132
89,  164
90,  92
91,  184
92,  61
93,  64
94,  47
95,  184
96,  193
97,  75
98,  67
99,  175
100,  41
101,  64
102,  129
103,  165
104,  243
105,  89
106,  103
107,  110
108,  185
109,  51
110,  82
111,  150
112,  163
113,  184
114,  37
115,  192
116,  229
117,  229
118,  90
119,  198
120,  50
121,  236
122,  142
123,  209
124,  242
125,  222
126,  20
127,  36
128,  144
129,  128
130,  155
131,  197
132,  55
133,  96
134,  144
135,  126
136,  101
137,  222
138,  246
139,  43
140,  38
141,  63
142,  153
143,  191
144,  112
145,  173
146,  184
147,  197
148,  128
149,  155
150,  254
151,  212
152,  157
153,  111
154,  78
155,  230
156,  108
157,  68
158,  226
159,  218
160,  10
161,  155
162,  193
163,  246
164,  192
165,  22
166,  248
167,  172
168,  184
169,  180
170,  63
171,  34
172,  150
173,  202
174,  173
175,  218
176,  70
177,  145
178,  205
179,  137
180,  10
181,  70
182,  8
183,  166
184,  115
185,  58
186,  200
187,  222
188,  79
189,  207
190,  161
191,  8
192,  55
193,  197
194,  101
195,  249
196,  121
197,  214
198,  212
199,  204
200,  153
201,  118
202,  103
203,  214
204,  55
205,  5
206,  114
207,  75
208,  67
209,  150
210,  241
211,  162
212,  191
213,  188
214,  246
215,  194
216,  171
217,  182
218,  88
219,  167
220,  88
221,  169
222,  204
223,  124
224,  33
225,  141
226,  244
227,  162
228,  86
229,  249
230,  236
231,  115
232,  213
233,  17
234,  111
235,  14
236,  70
237,  55
238,  162
239,  1
240,  239
241,  101
242,  133
243,  220
244,  184
245,  245
246,  84
247,  101
248,  49
249,  21
250,  225
251,  190
252,  93
253,  80
254,  177
255,  200
256,  117
257,  73
258,  188
259,  46
260,  108
261,  55
262,  6
263,  84
264,  110
265,  66
266,  227
267,  152
268,  104
269,  45
270,  234
271,  151
272,  250
273,  48
274,  24
275,  15
276,  27
277,  67
278,  194
279,  130
280,  54
281,  9
282,  81
283,  167
284,  105
285,  212
286,  227
287,  77
288,  70
289,  164
290,  41
291,  12
292,  74
293,  216
294,  73
295,  82
296,  2
297,  13
298,  61
299,  242
300,  152
301,  136
302,  85
303,  156
304,  197
305,  218
306,  160
307,  153
308,  44
309,  162
310,  240
311,  16
312,  59
313,  167
314,  135
315,  58
316,  125
317,  221
318,  122
319,  97
320,  254
321,  112
322,  84
323,  107
324,  77
325,  85
326,  82
327,  135
328,  245
329,  107
330,  33
331,  186
332,  171
333,  14
334,  240
335,  158
336,  2
337,  16
338,  8
339,  2
340,  52
341,  162
342,  191
343,  251
344,  221
345,  98
346,  73
347,  197
348,  103
349,  216
350,  160
351,  251
352,  56
353,  157
354,  199
355,  0
356,  237
357,  216
